Timestamp,Rate Lowe's Beach,Rate Conch Point Beach,Rate The Sand Bars,Rate Dean's Blue Hole,Rate Gordon's Beach,Name your Favourite Beach
11/3/2021 16:31:39,5,5,5,5,5,The Cape Beach 
11/3/2021 16:32:01,3,5,4,1,2,Conch Point beach
11/3/2021 16:32:12,3,5,5,4,2,The Cape Beach
11/3/2021 16:33:44,5,4,3,2,1,The Cape Beach
11/3/2021 16:37:03,5,3,2,4,1,Lowe's Beach
11/3/2021 16:39:21,1,2,3,4,5,Gordon's Beach
11/3/2021 16:39:46,3,4,2,1,5,The Cape Beach
11/3/2021 16:40:59,5,5,5,5,3,Galloway
11/3/2021 16:56:00,1,2,4,3,5,The Cape Beach
11/3/2021 17:03:02,5,1,2,4,3,Lowe's Beach
11/3/2021 17:05:56,4,2,3,4,4,Lowe's Beach
11/3/2021 17:08:28,5,4,5,4,4,Lowe's Beach
11/3/2021 17:17:45,2,1,3,4,5,Galloway
11/3/2021 17:18:01,5,2,4,1,3,Conch Point Beach
11/3/2021 17:41:22,5,5,5,5,5,The Cape Beach
