year,name,category,no_of_islands
1960,Donna,4,3
1961,Gerda,1,4
1963,Flora,3,3
1965,Betsy,5,2
1966,Inez,5,2
1966,Celia,2,4
1970,Greta,1,1
1972,Dawn,1,1
1973,TS Gilda,1,3
1979,David,3,1
1981,Arlene,1,3
1981,Gert,3,2
1981,Katrina,1,3
1984,Isidore,1,2
1985,Isabel,1,1
1985,Kate,3,3
1987,Floyd,1,3
1988,Chris,1,2
1991,Ana,1,3
1991,Fabian,1,2
1992,Andrew,6,6
1995,Erin,3,4
1996,Lili,4,1
1996,Bertha,3,2
1998,Georges,5,1
1999,Dennis,2,4
1999,Floyd,5,5
1999,Harvey,1,1
1999,Irene,3,1
2001,Michelle,5,2
2002,TS Cristobal,1,2
2003,Erika,2,2
2003,TS Henry,1,1
2003,Isabel,6,3
2003,TS Mindy,1,1
2004,Frances,4,17
2004,Jeanne,4,4
2005,Katrina,1,3
2005,Rita,1,5
2005,Franklin,1,3
2005,Ophelia,1,2
2005,Wilma,6,2
2005,Tammy,1,2
2006,Chris,1,2
2007,Noel,2,5
2008,Ike,4,1
2008,Hanna,2,2
2008,Paloma,5,2
2010,Nicole,1,2
2010,Bonnie,1,4
2011,Bret,1,2
2011,Irene,4,6
2011,Emily,1,4
2012,Sandy,4,5
2012,Isaac,2,2
2013,Dorian,1,2
2014,Arthur,1,1
2014,Bertha,2,3
2015,Joaquin,5,6
2015,Kate,2,3
2016,Matthew,6,6
2016,Alex,1,1
2016,Bonnie,1,1
2017,Irma,6,5
2017,Philippe,1,2
2017,Maria,5,2
2018,Gordon,1,2
2018,Beryl,2,2
2019,Dorian,6,2
2019,Humberto,4,3
2020,Arthur,1,1
2020,Isaias,2,3
2020,Sally,1,1
2020,Eta,2,1
2021,Fred,2,1
